ids,labels
0,663
1,862
2,650
3,300
4,785
5,723
6,1059
7,476
8,378
9,1194
10,1082
11,335
12,261
13,280
14,443
15,730
16,1007
17,146
18,1134
19,669
20,509
21,451
22,367
23,110
24,96
25,650
26,891
27,1106
28,378
29,162
30,925
31,910
32,250
33,712
34,1069
35,604
36,758
37,1162
38,1015
39,689
40,1131
41,884
42,81
43,720
44,765
45,782
46,891
47,584
48,784
49,492
50,488
51,798
52,1091
53,763
54,816
55,548
56,773
57,18
58,716
59,1133
60,933
61,387
62,71
63,625
64,1147
65,706
66,523
67,130
68,473
69,971
70,551
71,517
72,216
73,254
74,1170
75,137
76,105
77,218
78,1202
79,764
80,625
81,555
82,878
83,356
84,906
85,405
86,509
87,286
88,649
89,1079
90,510
91,1109
92,194
93,427
94,1188
95,326
96,341
97,56
98,308
99,894
100,54
101,1193
102,1117
103,763
104,1149
105,1101
106,427
107,414
108,140
109,726
110,281
111,377
112,950
113,548
114,1025
115,57
116,82
117,760
118,889
119,1148
120,391
121,324
122,562
123,1148
124,1019
125,894
126,254
127,600
128,1027
129,196
130,560
131,599
132,423
133,498
134,467
135,915
136,1154
137,240
138,920
139,361
140,521
141,1023
142,832
143,127
144,648
145,1027
146,789
147,510
148,294
149,348
150,945
151,1007
152,741
153,698
154,394
155,1174
156,437
157,353
158,957
159,1172
160,9
161,777
162,1191
163,205
164,811
165,277
166,379
167,271
168,741
169,930
170,905
171,943
172,1212
173,947
174,64
175,676
176,613
177,766
178,1160
179,323
180,735
181,292
182,950
183,1085
184,542
185,617
186,206
187,611
188,1212
189,1023
190,71
191,404
192,804
193,303
194,154
195,8
196,562
197,255
198,566
199,842
200,818
201,761
202,854
203,203
204,685
205,478
206,514
207,732
208,1192
209,471
210,377
211,328
212,474
213,201
214,756
215,721
216,508
217,729
218,91
219,625
220,51
221,924
222,1162
223,507
224,705
225,584
226,1198
227,62
228,337
229,1119
230,774
231,1168
232,675
233,679
234,716
235,489
236,447
237,941
238,1152
239,9
240,1212
241,600
242,77
243,544
244,555
245,315
246,823
247,168
248,718
249,1008
250,66
251,913
252,315
253,373
254,250
255,526
256,1167
257,622
258,590
259,870
260,656
261,407
262,556
263,406
264,1040
265,1005
266,23
267,501
268,243
269,288
270,396
271,516
272,625
273,581
274,511
275,894
276,11
277,1087
278,688
279,997
280,10
281,18
282,545
283,1195
284,431
285,245
286,647
287,84
288,34
289,56
290,783
291,223
292,290
293,114
294,70
295,239
296,126
297,960
298,70
299,770
300,919
301,1184
302,198
303,153
304,1029
305,131
306,179
307,401
308,190
309,401
310,518
311,800
312,15
313,135
314,957
315,406
316,1085
317,609
318,192
319,1142
320,254
321,803
322,1146
323,483
324,122
325,386
326,12
327,1156
328,1027
329,1057
330,283
331,1126
332,541
333,205
334,238
335,282
336,627
337,596
338,203
339,499
340,307
341,878
342,171
343,612
344,571
345,178
346,920
347,417
348,669
349,332
350,968
351,535
352,717
353,956
354,269
355,688
356,92
357,943
358,63
359,797
360,406
361,789
362,99
363,981
364,605
365,921
366,1126
367,426
368,391
369,252
370,602
371,1030
372,1123
373,1212
374,670
375,565
376,1211
